"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","org.haxe.nme.MainView{d386369 VFE...... ......I. 0,0-0,0}"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 35"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/grog.ogg = 2130903076"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/grog_celebrate.ogg = 2130903074"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 36"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/grog_celebrate.ogg = 2130903074"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/grog_grow.ogg = 2130903075"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/grog_grow.ogg = 2130903075"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/grog_smash.ogg = 2130903077"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 38"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/grog_smash.ogg = 2130903077"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/ignite.ogg = 2130903078"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 39"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/intro_ramp.ogg = 2130903079"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/intro_ramp.ogg = 2130903079"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/jump.ogg = 2130903080"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 41"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/jump.ogg = 2130903080"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/kenny_celebrate.ogg = 2130903081"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 42"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/kenny_celebrate.ogg = 2130903081"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/kenny_scurry.ogg = 2130903082"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 43"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/kenny_scurry.ogg = 2130903082"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/land.ogg = 2130903083"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/land.ogg = 2130903083"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/mioto_yell.ogg = 2130903084"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 45"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/mioto_yell.ogg = 2130903084"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/miyoto_celebrate.ogg = 2130903085"
